table	query	scanstep
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	48
1	7	0
1	8	48
1	9	0
1	10	160
1	11	0
1	12	16
1	13	0
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	64
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	20
2	13	0
3	0	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	32
3	7	0
3	8	0
3	9	0
3	10	80
3	11	0
3	12	327
3	13	0
4	0	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	36
4	6	0
4	7	0
4	8	36
4	9	0
4	10	0
4	11	0
4	12	218
4	13	0
5	0	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	320
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
6	0	0
6	1	0
6	2	0
6	3	0
6	4	2
6	5	650
6	6	0
6	7	0
6	8	268
6	9	0
6	10	0
6	11	300
6	12	586
6	13	0
7	0	0
7	1	586
7	2	586
7	3	1172
7	4	586
7	5	586
7	6	0
7	7	0
7	8	586
7	9	586
7	10	0
7	11	1100
7	12	0
7	13	586
8	0	0
8	1	0
8	2	5274
8	3	0
8	4	0
8	5	0
8	6	400
8	7	0
8	8	0
8	9	18
8	10	0
8	11	0
8	12	0
8	13	0
